measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
5,Prevalence,55,Slovenia,3,Both,22,All ages,338,Diphtheria,1,Number,2000,0.0044742189489363395,0.007321773211465021,0.0027502675707583185
5,Prevalence,55,Slovenia,3,Both,22,All ages,338,Diphtheria,2,Percent,2000,2.3502005578774327e-09,3.839105736412937e-09,1.4435787027122763e-09
5,Prevalence,55,Slovenia,3,Both,22,All ages,338,Diphtheria,3,Rate,2000,0.00022457956473983102,0.00036751009723059595,0.00013804731082858854
5,Prevalence,55,Slovenia,3,Both,22,All ages,339,Whooping cough,1,Number,2000,143.43780508563742,185.98275113939877,108.95666988319215
5,Prevalence,55,Slovenia,3,Both,22,All ages,339,Whooping cough,2,Percent,2000,7.534689309745174e-05,9.756885942977749e-05,5.73694651789301e-05
5,Prevalence,55,Slovenia,3,Both,22,All ages,339,Whooping cough,3,Rate,2000,7.1997370269569085,9.335243933453908,5.468986157614368
5,Prevalence,55,Slovenia,3,Both,22,All ages,340,Tetanus,1,Number,2000,0.0279395095262703,0.0483607414396873,0.00740106444486502
5,Prevalence,55,Slovenia,3,Both,22,All ages,340,Tetanus,2,Percent,2000,1.4676059909762132e-08,2.5409437965923143e-08,3.875567684977912e-09
5,Prevalence,55,Slovenia,3,Both,22,All ages,340,Tetanus,3,Rate,2000,0.0014023996053983507,0.0024274257444648387,0.00037149005236642807
5,Prevalence,55,Slovenia,3,Both,22,All ages,341,Measles,1,Number,2000,0.49911332289739485,0.7172945887397105,0.27940780465209564
5,Prevalence,55,Slovenia,3,Both,22,All ages,341,Measles,2,Percent,2000,2.6217842925856983e-07,3.7748273713692647e-07,1.4725539005073115e-07
5,Prevalence,55,Slovenia,3,Both,22,All ages,341,Measles,3,Rate,2000,0.025052563160503156,0.036003983794243306,0.014024633990832487
5,Prevalence,43,Albania,3,Both,22,All ages,1026,Total burden related to hepatitis B,1,Number,2000,29323.778619106688,33634.025862696915,25472.722631428143
5,Prevalence,43,Albania,3,Both,22,All ages,1026,Total burden related to hepatitis B,2,Percent,2000,0.009753625533310247,0.011248560107216487,0.008443565244303671
5,Prevalence,43,Albania,3,Both,22,All ages,1026,Total burden related to hepatitis B,3,Rate,2000,918.8411713969575,1053.8999125555893,798.1708839556176
5,Prevalence,44,Bosnia and Herzegovina,3,Both,22,All ages,402,Acute hepatitis B,1,Number,2000,1269.9317203265487,1508.2717814815649,1051.0065530221325
5,Prevalence,44,Bosnia and Herzegovina,3,Both,22,All ages,402,Acute hepatitis B,2,Percent,2000,0.00032371462977683253,0.00038404979736052436,0.0002679435723687676
5,Prevalence,44,Bosnia and Herzegovina,3,Both,22,All ages,402,Acute hepatitis B,3,Rate,2000,31.01213954860119,36.832480215941075,25.665916810421525
5,Prevalence,54,Slovakia,3,Both,22,All ages,1026,Total burden related to hepatitis B,1,Number,2000,61255.26722260287,69121.73483320912,51926.45736722329
5,Prevalence,54,Slovakia,3,Both,22,All ages,1026,Total burden related to hepatitis B,2,Percent,2000,0.011928369559553677,0.013471632960351388,0.010104729884199366
5,Prevalence,54,Slovakia,3,Both,22,All ages,1026,Total burden related to hepatitis B,3,Rate,2000,1136.6393314719169,1282.607782698682,963.5359776180522
5,Prevalence,55,Slovenia,3,Both,22,All ages,297,Tuberculosis,1,Number,2000,442129.82522729225,506441.4772972157,390626.2784911012
5,Prevalence,55,Slovenia,3,Both,22,All ages,297,Tuberculosis,2,Percent,2000,0.2322401725073912,0.2658967510071163,0.20551859051532226
